,margin,interior
threshold,0.95,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.9,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.85,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.8,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.75,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.7,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.65,0
recall,0,0.69
precision,0,0.04
,margin,interior
threshold,0.6,0
recall,0.07,0.69
precision,1.0,0.04
,margin,interior
threshold,0.55,0
recall,0.11,0.69
precision,1.0,0.04
,margin,interior
threshold,0.5,0
recall,0.15,0.69
precision,0.8,0.04
,margin,interior
threshold,0.45,0
recall,0.19,0.69
precision,0.42,0.04
,margin,interior
threshold,0.4,0
recall,0.22,0.69
precision,0.27,0.04
,margin,interior
threshold,0.35,0
recall,0.26,0.69
precision,0.21,0.04
,margin,interior
threshold,0.3,0
recall,0.3,0.69
precision,0.15,0.04
,margin,interior
threshold,0.25,0
recall,0.37,0.69
precision,0.09,0.04
,margin,interior
threshold,0.2,0
recall,0.44,0.69
precision,0.04,0.04
,margin,interior
threshold,0.15,0
recall,0.44,0.69
precision,0.01,0.04
,margin,interior
threshold,0.1,0
recall,0.44,0.69
precision,0.0,0.04
,margin,interior
threshold,0.05,0
recall,0.44,0.69
precision,0.0,0.04
,margin,interior
threshold,0,0.95
recall,0.44,0
precision,0.0,0
,margin,interior
threshold,0,0.9
recall,0.44,0.02
precision,0.0,1.0
,margin,interior
threshold,0,0.85
recall,0.44,0.08
precision,0.0,1.0
,margin,interior
threshold,0,0.8
recall,0.44,0.15
precision,0.0,0.53
,margin,interior
threshold,0,0.75
recall,0.44,0.21
precision,0.0,0.44
,margin,interior
threshold,0,0.7
recall,0.44,0.31
precision,0.0,0.43
,margin,interior
threshold,0,0.65
recall,0.44,0.37
precision,0.0,0.39
,margin,interior
threshold,0,0.6
recall,0.44,0.42
precision,0.0,0.35
,margin,interior
threshold,0,0.55
recall,0.44,0.48
precision,0.0,0.31
,margin,interior
threshold,0,0.5
recall,0.44,0.54
precision,0.0,0.27
,margin,interior
threshold,0,0.45
recall,0.44,0.6
precision,0.0,0.25
,margin,interior
threshold,0,0.4
recall,0.44,0.6
precision,0.0,0.19
,margin,interior
threshold,0,0.35
recall,0.44,0.6
precision,0.0,0.17
,margin,interior
threshold,0,0.3
recall,0.44,0.63
precision,0.0,0.14
,margin,interior
threshold,0,0.25
recall,0.44,0.63
precision,0.0,0.12
,margin,interior
threshold,0,0.2
recall,0.44,0.65
precision,0.0,0.09
,margin,interior
threshold,0,0.15
recall,0.44,0.67
precision,0.0,0.07
,margin,interior
threshold,0,0.1
recall,0.44,0.69
precision,0.0,0.04
,margin,interior
threshold,0,0.05
recall,0.44,0.69
precision,0.0,0.04
